City,Street,PostalCode,Country
NOTODDEN,"Hjalmar Johansens gate 13",3683,NO
HEIMDAL,"Oline Hårstads veg 83",7072,NO
MOSS,"Dronningens gate 115",1530,NO
TROMSØ,"Måsevegen 127",9015,NO
LARVIK,"Drengsroa 99",3260,NO
MOSS,"Klommestensbakken 13",1533,NO
OSLO,"Østensjø terrasse 15",0686,NO
HAFRSFJORD,"Madlatuå 41",4045,NO
HARSTAD,"Kanebogmyra 85",9411,NO
SKIEN,"Renna 130",3720,NO
ALTA,"Oterfaret 217",9512,NO
DRAMMEN,"Ambolten 121",3031,NO
SKUI,"Årenga 63",1340,NO
OSLO,"Mogata 195",0464,NO
LAKSEVÅG,"Riplegården 6",5161,NO
MOLDE,"Hjellmyrnakken 22",6429,NO
TRONDHEIM,"Alfred Hess veg 213",7028,NO
SANDEFJORD,"Tangenlia 69",3234,NO
SANDNES,"Kapellanveien 61",4325,NO
SKIEN,"Bakkegata 134",3725,NO
FAUSKE,"Kvitlyngveien 157",8209,NO
ASKIM,"Grønlundveien 114",1809,NO
SKIEN,"Tappenstreken 236",3733,NO
SANDNES,"Furuveien 171",4314,NO
LARVIK,"Eidgata 45",3264,NO
FREDRIKSTAD,"Onsøy Stasjon 182",1615,NO
SANDEFJORD,"Morellveien 98",3228,NO
TRONDHEIM,"Smistadgrenda 201",7026,NO
OSLO,"Ole Brumms vei 244",0979,NO
GODVIK,"Janastølen 120",5179,NO
HAFRSFJORD,"Vinterveien 112",4041,NO
HORTEN,"Foldenveien 9",3186,NO
HAGAN,"Bryggeriveien 62",1481,NO
PORSGRUNN,"Bjønnes-Solvika 37",3949,NO
SKIEN,"Rienvegen 192",3737,NO
"KRISTIANSUND N","Sørholmsveien 134",6508,NO
BERGEN,"Klosterhaugen 222",5005,NO
PORSGRUNN,"Kammerherreløkka 152",3915,NO
LARVIK,"Gloppeåsen 197",3261,NO
OSLO,"Firkløverveien 249",0379,NO
OSLO,"Jordstjerneveien 66",1283,NO
SANDNES,"Vinkelgaten 212",4307,NO
STORD,"Hornelandsvågen 101",5412,NO
ALTA,"Svartaksveien 79",9516,NO
SARPSBORG,"Almes vei 165",1726,NO
STAVANGER,"Hesbygata 102",4014,NO
"GAMLE FREDRIKSTAD","Anton Rosings vei 236",1637,NO
STAVANGER,"Hordaveien 245",4020,NO
STEINKJER,"Bekkavegen 186",7717,NO
PORSGRUNN,"Nedre Søliveg 191",3914,NO
BERGEN,"Øvre Ole Bulls plass 106",5012,NO
MOSS,"Solveien 72",1533,NO
DRAMMEN,"Kremlestien 68",3032,NO
GRIMSTAD,"Pharos vei 132",4876,NO
PARADIS,"Wernersholmveien 151",5232,NO
HAKADAL,"Myraveien 224",1488,NO
SKIEN,"Brokenvegen 102",3719,NO
MANDAL,"Foged Heibergs gate 51",4514,NO
MOLDE,"Lyngvegen 6",6429,NO
BORGENHAUGEN,"Brusemyrkroken 153",1739,NO
STAVANGER,"Sotrabakken 206",4029,NO
LAKSEVÅG,"Voldene 101",5162,NO
LARVIK,"Granveien 160",3268,NO
BERGEN,"Tartargaten 52",5034,NO
FJELLHAMAR,"Eirik Raudes vei 151",1472,NO
BERGEN,"Landåssvingen 117",5096,NO
LARVIK,"Grensesteinveien 51",3261,NO
ARENDAL,"Lynghaugen 29",4844,NO
"KRISTIANSAND S","Gudbrandslia 205",4638,NO
HAMAR,"Kristin Lavransdatters veg 204",2316,NO
OSLO,"Norderhovgata 191",0654,NO
PORSGRUNN,"Borgeåsen terrasse 176",3911,NO
MOSS,"Skutebakken 224",1513,NO
NYBORG,"Eikåsneset 156",5131,NO
HAMAR,"Pirilsveg 6",2319,NO
SANDNES,"Tjeldveien 232",4318,NO
HAFSLUNDSØY,"Hasle Trafo 162",1734,NO
SARPSBORG,"Vannverksveien 203",1727,NO
GRESSVIK,"Rødåsen 240",1621,NO
KONGSBERG,"Budstikka 43",3612,NO
STAVANGER,"Kirkegata 119",4006,NO
STAVANGER,"Heiamyrå 211",4033,NO
TROMSØ,"Hansine Hansens veg 149",9019,NO
JESSHEIM,"Konglekroken 125",2050,NO
SARPSBORG,"Friggs gate 159",1725,NO
TERTNES,"Grønskjeret 194",5114,NO
SANDEFJORD,"Drakeåsveien 41",3229,NO
TRONDHEIM,"Rådmannsvegen 22",7027,NO
TROMSDALEN,"Møllervegen 108",9020,NO
HØVIK,"Lindhaugsvingen 243",1363,NO
OSLO,"Pasoplia 63",1279,NO
SANDEFJORD,"Grønnligata 123",3217,NO
SANDNES,"Noredalen 211",4308,NO
SOMMARØY,"Hillesøyvegen 73",9110,NO
SANDEFJORD,"Vargveien 148",3235,NO
GRESSVIK,"Vestkilen 10",1621,NO
STAVANGER,"Kongsteinsmauet 138",4012,NO
LILLEHAMMER,"Hågåvegen 239",2608,NO
SKEDSMOKORSET,"Løkenveien 206",2019,NO
TROMSDALEN,"Livegen 248",9020,NO
OSLO,"Thygesons vei 170",0667,NO
HALDEN,"Rolandstredet 186",1767,NO
BERGEN,"Fredlundbakken 171",5073,NO
HAFSLUNDSØY,"Nipaveien (Varteig) 20",1734,NO
SKJEBERG,"Hedins vei 136",1746,NO
"GAMLE FREDRIKSTAD","Raumagata 11",1636,NO
FLEKKERØY,"Jensebakken 55",4625,NO
RANHEIM,"Hammerverksvegen 25",7056,NO
FAUSKE,"Bjørkmoveien 193",8200,NO
DRAMMEN,"Iver Juels gate 123",3040,NO
HALDEN,"Brønnhøydveien 38",1768,NO
SANDNES,"Todnemlia 57",4312,NO
"KRISTIANSAND S","Lerkeveien 109",4622,NO
ASKER,"Jøssongveien 4",1384,NO
SELLEBAKK,"Kinogaten 221",1653,NO
BERGEN,"Bratlandsmauet 238",5010,NO
ELVERUM,"Ihlenvegen 87",2409,NO
FREDRIKSTAD,"Ambjørnrødveien 83",1615,NO
NOTODDEN,"Linbursdokka 222",3681,NO
TØNSBERG,"Hegreveien 56",3124,NO
HAMAR,"Kavegen 187",2319,NO
OSLO,"Marta Steinsviks vei 85",1283,NO
NARVIK,"Bregnetunet 137",8515,NO
GRÅLUM,"Vestlia 30",1712,NO
BERGEN,"Johanne Juells gate 221",5053,NO
STAVANGER,"Smalgangen 171",4013,NO
BERGEN,"Jens Rolfsens gate 115",5032,NO
BORGENHAUGEN,"Engsmyr terrasse 117",1739,NO
STAVANGER,"Heskestadveien 86",4015,NO
FOSNAVÅG,"Pettervågen 92",6090,NO
STEINKJER,"Svein Jarls gate 94",7713,NO
TØNSBERG,"Pegasusveien 153",3113,NO
SARPSBORG,"Lilletuneveien 53",1711,NO
BODØ,"Mælenhaugen 62",8012,NO
LILLEHAMMER,"Fagabergvegen 223",2624,NO
ÅLESUND,"Nylandvegen 144",6011,NO
NARVIK,"Marmorsvingen 238",8515,NO
SANDEFJORD,"Solveien 128",3217,NO
SANDEFJORD,"Lille Revåsvei 177",3222,NO
KONGSVINGER,"Prinsens gate 119",2208,NO
"MO I RANA","Fagerlien 153",8610,NO
SKJEBERG,"Klavestadgata 178",1747,NO
MOLDE,"Friervegen 250",6413,NO
OSLO,"August Cappelens gate 97",0360,NO
BLOMSTERDALEN,"Langenesvegen 104",5258,NO
NOTODDEN,"Hvålagata 172",3681,NO
"KRISTIANSAND S","Eigevannsveien 168",4629,NO
"GAMLE FREDRIKSTAD","Sindings gate 238",1636,NO
ÅLESUND,"Korsvika 183",6006,NO
HARSTAD,"Skjurberget 112",9407,NO
HASLUM,"Vallerkroken 16",1344,NO
ÅLESUND,"Bjørkhaugen 33",6012,NO
STAVANGER,"Måltroststien 3",4022,NO
BORGENHAUGEN,"Rådyrfaret 231",1739,NO
ÅLESUND,"Grønvika 95",6015,NO
GRIMSTAD,"Gjert Sørensens vei 206",4879,NO
"KRISTIANSAND S","Vavikbakken 97",4639,NO
HØNEFOSS,"Molvaldgata 138",3513,NO
STAVANGER,"Nedre Tastasjøen 200",4029,NO
TROMSØ,"Jonas Lies gate 199",9009,NO
HØNEFOSS,"Sagafaret 139",3514,NO
MOLDE,"Olav Oksviks veg 106",6425,NO
NOTODDEN,"Svintrudvegen 120",3676,NO
ALTA,"Hesteskoen 27",9510,NO
TØNSBERG,"Uranusveien 106",3113,NO
NORDBYHAGEN,"Dr. Kobros vei 80",1474,NO
HØNEFOSS,"Bertelsbakken 232",3514,NO
OSLO,"St. Halvards plass 172",0192,NO
MOSS,"Abborveien 154",1528,NO
"MO I RANA","Yttraskarveien 97",8614,NO
BODØ,"Solliveien 172",8011,NO
KONGSVINGER,"Glommengata 169",2211,NO
SKIEN,"Tranebærvegen 55",3734,NO
TROMSØ,"Breivangvegen 93",9010,NO
"BÆRUMS VERK","Sleiverudveien 158",1354,NO
"GAMLE FREDRIKSTAD","Havnaveien 97",1634,NO
HEIMDAL,"Ole Jørgensens veg 49",7089,NO
HARSTAD,"Vierbakken 229",9414,NO
OSLO,"Østreheimsveien 159",0590,NO
SANDNES,"Hauagaten 29",4307,NO
TOLVSRØD,"Strandlyveien 182",3150,NO
NARVIK,"Tyriveien 71",8515,NO
GRESSVIK,"Midtåsen 95",1624,NO
ARENDAL,"Havstadlia 248",4842,NO
OSLO,"Vippetangen 33",0150,NO
NARVIK,"Fiolstien 104",8515,NO
FREDRIKSTAD,"Trosviksnippen 26",1610,NO
ARENDAL,"Skøyteveien 169",4848,NO
OSLO,"Fjordgløttveien 76",0575,NO
STAVANGER,"Nærbøgata 110",4014,NO
HARSTAD,"Hekkvegen 241",9411,NO
TRONDHEIM,"Jørunds gate 112",7030,NO
"KRISTIANSUND N","Helsings gate 124",6509,NO
FREDRIKSTAD,"Huths gate 221",1608,NO
HAUGESUND,"Kyrpingvegen 237",5532,NO
ÅLESUND,"Lerstadlia 225",6014,NO
ISE,"Jansbråteveien 79",1730,NO
SANDNES,"Nordre Markvei 54",4307,NO
PORSGRUNN,"Kollskjeggvegen 67",3917,NO
RASTA,"Østlifaret 37",1476,NO
"MO I RANA","Labakken 94",8616,NO
SANDEFJORD,"Rødsveien 122",3222,NO
SKIEN,"Kverndalsgata 108",3717,NO
"GAMLE FREDRIKSTAD","Åbyggeveien 222",1636,NO
HALDEN,"Idunns vei 14",1781,NO
STAVANGER,"Idsegata 65",4015,NO
STABEKK,"Peterhofveien 216",1369,NO
DRAMMEN,"Kai Fjells vei 27",3038,NO
STEINKJER,"Svein Jarls gate 154",7713,NO
"KRISTIANSUND N","Morildveien 182",6515,NO
LØRENSKOG,"Bregneveien 183",1470,NO
OSLO,"Krafts gate 241",0169,NO
HAMAR,"Lundvegen 104",2316,NO
SNARØYA,"Kongshavn 88",1367,NO
HAMAR,"Skarpholvegen 5",2319,NO
OSLO,"Hagastubben 236",0980,NO
TRONDHEIM,"Sigurd Einbus veg 169",7036,NO
ASKER,"Hesjejordet 39",1385,NO
ARENDAL,"Barbu 192",4841,NO
ASKER,"Ånnerudtoppen 178",1383,NO
BERGEN,"St. Sunnivas vei 82",5052,NO
GJØVIK,"Johan Castbergs gate 223",2815,NO
OSLO,"Asalveien 83",0876,NO
ARENDAL,"Seljebakken 213",4844,NO
SKIEN,"Halvdans gate 51",3725,NO
BORRE,"Nøttestien 48",3184,NO
STAVANGER,"Tors gate 91",4011,NO
"BÆRUMS VERK","Bakerovnsgrenda 220",1353,NO
ELVERUM,"Bergevegen 236",2411,NO
HARSTAD,"Vollevegen 173",9402,NO
HUNDVÅG,"Dorybakken 122",4085,NO
TRONDHEIM,"Frøys veg 2",7033,NO
"KRISTIANSAND S","Jørgen Løvlands vei 2",4617,NO
BERGEN,"Sjøgaten 131",5035,NO
HAKADAL,"Kringsjåveien 80",1484,NO
HORTEN,"Rustadbrygga 202",3187,NO
HAUGESUND,"Jektevegen 28",5535,NO
SKUI,"Bjørumveien 127",1340,NO
MOSS,"Åkerfaret 59",1518,NO
SEM,"Torvmyrveien 129",3170,NO
ALTA,"Karl Johnsens vei 40",9511,NO
TRONDHEIM,"Ingvald Undsets gate 47",7030,NO
BERGEN,"Øyjordsbotten 178",5038,NO
EIDSVÅGNESET,"Furubotn 172",5101,NO
HAUGESUND,"St. Olavs plass 36",5523,NO
LARVIK,"Haukeveien 159",3258,NO
TILLER,"Hårstadryggen 116",7092,NO
SANDEFJORD,"Parkveien 23",3216,NO
HAGAN,"Listubben 95",1481,NO
STAVANGER,"Solåsveien 172",4016,NO
GJØVIK,"Hoffs gate 239",2819,NO
PARADIS,"Hovdenflaten 24",5232,NO
TØNSBERG,"Johan Gulliksens vei 50",3117,NO
HEGGEDAL,"Grodalsåsen 184",1389,NO
HAUGESUND,"Ekenæsvegen 177",5538,NO
HAUGESUND,"Haugeplassen 99",5523,NO
"KRISTIANSAND S","Marcus Thranes gate 119",4630,NO
"GAMLE FREDRIKSTAD","Spinneriveien 200",1632,NO
MOSBY,"Kiledalen 216",4619,NO
TROMSØ,"Krognessvegen 88",9006,NO
ALTA,"Fjellveien 73",9511,NO
SARPSBORG,"Astrids gate 63",1706,NO
NOTODDEN,"Hellemvegen 115",3677,NO
ISE,"Urdalsbråten 44",1730,NO
OSLO,"Etterstadkroken 87",0659,NO
SANDNES,"Hauagaten 198",4307,NO
TISTEDAL,"Ilaveien 52",1791,NO
TRONDHEIM,"Beddingen 84",7014,NO
MOSS,"Herføllbakken 243",1532,NO
OSLO,"Beverkollen 99",1275,NO
FREDRIKSTAD,"Moreneveien 44",1605,NO
MOSS,"Skolegata 66",1532,NO
OSLO,"Olav Vs gate 169",0161,NO
ASKIM,"Møllegata 41",1811,NO
BORGEN,"Rødhettes vei 91",1388,NO
ARENDAL,"Strandgaten 91",4836,NO
SEM,"Bent Billes vei 120",3170,NO
DRAMMEN,"Trillingen 49",3036,NO
OSLO,"Furuset allé 111",1053,NO
HAUGESUND,"Svehaug 74",5535,NO
HARSTAD,"Reirstubben 241",9403,NO
TRONDHEIM,"Dokkparken 30",7014,NO
TRONDHEIM,"Haldens gate 53",7014,NO
HOLUM,"Møglandsveien 236",4519,NO
ASKER,"Askervangen 64",1383,NO
DRAMMEN,"Henrik Walters plass 210",3023,NO
FJELLHAMAR,"Halfdan Kierulfs vei 57",1472,NO
HØNEFOSS,"Løkkeneveien 146",3512,NO
GREÅKER,"Portveien 171",1718,NO
FREI,"Ånesvegen 20",6522,NO
ALTA,"Idrettsveien 177",9513,NO
GJØVIK,"Seljevegen 42",2818,NO
OSLO,"Lerdalsgrenda 44",1262,NO
GARNES,"Garnestangen 227",5264,NO
SKOPPUM,"Jahrelundveien 198",3185,NO
DRAMMEN,"Rugdeveien 179",3030,NO
JESSHEIM,"Miltangen 169",2050,NO
ÅLESUND,"Olamyrsvingen 9",6013,NO
OSLO,"Kronprinsesse Märthas plass 84",0160,NO
NESTTUN,"Øvsttunåsen 201",5223,NO
FYLLINGSDALEN,"Huldretråkket 124",5142,NO
HOMMERSÅK,"Vårliveien 124",4310,NO
PORSGRUNN,"Lokes veg 46",3913,NO
MOSS,"Helgedalen 110",1528,NO
FREI,"Husøyveien 36",6520,NO
ENGELSVIKEN,"Mariusbakken 97",1628,NO
OSLO,"Sørvangen 55",0282,NO
FREDRIKSTAD,"Ambjørnrødveien 181",1615,NO
ÅLESUND,"Olsvikskaret 117",6006,NO
"NORDRE TOTEN","Mekketvegen 180",2820,NO
GRESSVIK,"Skjellumveien 139",1621,NO
JAKOBSLI,"Furuvegen 152",7058,NO
HAMAR,"Jessnesvegen 130",2315,NO
FREI,"Kvalvågdalen 108",6525,NO
"MO I RANA","Søsterveien 238",8613,NO
HAUKELAND,"Vesthagen 234",5268,NO
RÆLINGEN,"Hestehagan 248",2005,NO
"KRISTIANSUND N","Skjærvaveien 53",6507,NO
LARVIK,"Grønnebergveien 95",3261,NO
FLEKKERØY,"Andåsveien 96",4625,NO
KONGSVINGER,"A. K. Blix veg 15",2214,NO
GRIMSTAD,"Ekornveien 219",4879,NO
SKIEN,"Fossegata 17",3730,NO
BERGEN,"Kolstien 105",5097,NO
LARVIK,"Kloppsteinveien 201",3261,NO
"KRISTIANSUND N","Buesvingen 197",6517,NO
STAVANGER,"Haugvaldstads gate 43",4005,NO
OSLO,"Vollebekkveien 61",0598,NO
PORSGRUNN,"Nyhusåsen 48",3946,NO
FREDRIKSTAD,"Fjeldberg 230",1610,NO
HØNEFOSS,"Urdveien 91",3518,NO
TROMSØ,"Prestvannvegen 158",9011,NO
ARENDAL,"Kirkebakken 179",4836,NO
ASKIM,"Løkkeveien 131",1831,NO
FINSTADJORDET,"Losbyveien 88",1475,NO
PORSGRUNN,"Øygardsvegen 193",3914,NO
"MO I RANA","Olderveien 100",8622,NO
KONGSBERG,"Dyrmyrgata 97",3611,NO
ALTA,"Breverudmyra 43",9513,NO
SARPSBORG,"Helgebakken 119",1710,NO
TRENGEREID,"Gullbotn 153",5263,NO
NOTODDEN,"Nordre Vestsidaveg 103",3677,NO
KONGSVINGER,"Duevegen 10",2209,NO
HOMMERSÅK,"Vierveien 118",4311,NO
SANDEFJORD,"Briggveien 120",3219,NO
TORP,"Årumfjella 64",1659,NO
"KRISTIANSAND S","Fidjetoppen 203",4628,NO
SANDNES,"Austre Tjørnvei 53",4317,NO
STORD,"Meatjønnshaugen 105",5412,NO
ALTA,"Lærer Lilands vei 47",9517,NO
SKIEN,"Søndre Lensmannsveg 111",3736,NO
FAUSKE,"Tjeldveien 216",8207,NO
GRIMSTAD,"Vestre Vik 87",4878,NO
TØNSBERG,"Kilengaten 78",3117,NO
ARENDAL,"Stoheiveien 206",4825,NO
FYLLINGSDALEN,"Lyshovden 190",5148,NO
ÅLESUND,"Bigtonvegen 203",6010,NO
"KRISTIANSUND N","Ole Vigs gate 10",6516,NO
BERGEN,"Lærerbakken 113",5055,NO
JESSHEIM,"Kjeld Stubs veg 159",2050,NO
DRAMMEN,"Muusøya 139",3023,NO
KVALØYSLETTA,"Storelvbakken 136",9100,NO
HORTEN,"Hans Gudes gate 104",3189,NO
STAVANGER,"Egersundsgata 117",4015,NO
KONGSVINGER,"Bregnevegen 204",2208,NO
MOSJØEN,"Nyrudvegen 21",8657,NO
HØNEFOSS,"Ruaveien 84",3515,NO
KONGSVINGER,"Oberst Krebs gate 154",2213,NO
SANDEFJORD,"Shetlandsgata 44",3238,NO
"KRISTIANSAND S","Auglandslia 76",4620,NO
STAVANGER,"Lars Utnes vei 108",4023,NO
ÅLESUND,"Åsegjerdet 211",6017,NO
BODØ,"Liveien 201",8022,NO
SANDNES,"Ole Bulls gate 103",4306,NO
OSLO,"Bertrand Narvesens vei 107",0661,NO
SANDNES,"Stronda 217",4329,NO
SKIEN,"Lensmannsvegen 179",3732,NO
RASTA,"Røykås terrasse 62",1476,NO
SKJEBERG,"Hauglundveien 229",1747,NO
HARSTAD,"Kveldrovegen 100",9407,NO
HORTEN,"Dosent Brynildsens gate 16",3188,NO
BERGEN,"Edvard Griegs plass 44",5015,NO
OSLO,"Bølersletta 192",0690,NO
ÅLESUND,"Storfjordvegen 226",6013,NO
HORTEN,"Barlindveien 200",3189,NO
FJELLHAMAR,"Fjelltunveien 208",1472,NO
HØNEFOSS,"Østbyveien 84",3512,NO
LARVIK,"Gunnar Reiss-andersens gate 58",3259,NO
ARENDAL,"Tromøyveien 77",4841,NO
SANDEFJORD,"Alkeveien 106",3209,NO
TRONDHEIM,"Anders Tvereggens veg 144",7037,NO
FINSTADJORDET,"Finstadsletta 190",1475,NO
SKIEN,"Frognerhagen Sør 126",3714,NO
TØNSBERG,"Staverngaten 226",3112,NO
OSLO,"Spireaveien 160",0580,NO
DRAMMEN,"Tors vei 169",3040,NO
ELVERUM,"Vindheiavegen 235",2406,NO
"MO I RANA","Heggveien 10",8622,NO
BØNES,"Fjellsdalen 29",5155,NO
OSLO,"Lørenfaret 143",0580,NO
RYKKINN,"Leirdueveien 24",1349,NO
SARPSBORG,"Maugestenveien 201",1708,NO
ARENDAL,"Kirkefjell 9",4842,NO
PORSGRUNN,"Støperibakken 19",3912,NO
HAUGESUND,"Grenseplassen 181",5521,NO
SARPSBORG,"Depotveien 71",1727,NO
ARENDAL,"Lille Heivei 5",4825,NO
OSLO,"Torvbakkgata 27",0550,NO
"KRISTIANSUND N","Nordsundveien 119",6516,NO
STAVANGER,"Forusmyra 80",4033,NO
BODØ,"Brubakken 55",8011,NO
OSLO,"Risstubben 111",0374,NO
"GAMLE FREDRIKSTAD","Gudeberg allé 249",1632,NO
NARVIK,"Nedre Jernbanegate 147",8514,NO
LOMMEDALEN,"Hellerudveien 163",1350,NO
TRONDHEIM,"Smiloftstykket 85",7026,NO
TØNSBERG,"Gustav Hansens gate 128",3111,NO
FLEKKERØY,"Alsviga 121",4625,NO
OSLO,"Grønland 2",0188,NO
STEINKJER,"Nedre Rishalla 133",7716,NO
PORSGRUNN,"Teknikergata 172",3912,NO
VØYENENGA,"Vinkelveien 43",1339,NO
FANA,"Norheimsveien 192",5243,NO
ALTA,"Ankerveien 150",9515,NO
ARENDAL,"Tollbodgaten 212",4836,NO
"KRISTIANSAND S","Hellinga 183",4617,NO
SKIEN,"Soleievegen 56",3734,NO
SARPSBORG,"Fasanveien 40",1711,NO
SARPSBORG,"Vestengveien 159",1725,NO
NØTTERØY,"Bugården Nord 34",3140,NO
PORSGRUNN,"Rødsåsen 19",3928,NO
PORSGRUNN,"Kikutvegen 72",3941,NO
LODDEFJORD,"Junos vei 29",5173,NO
ARENDAL,"Hesthagen 60",4844,NO
TROMSØ,"Hamnavegen 177",9017,NO
HAUGESUND,"Møllervegen 194",5525,NO
KRÅKERØY,"Alshusbuen 16",1675,NO
FJELLHAMAR,"Brannvaktveien 63",1472,NO
FREDRIKSTAD,"Gunnar Nilsens gate 68",1607,NO
SANDEFJORD,"Kjerrboveien 136",3219,NO
HUNDVÅG,"Tårnringen 126",4085,NO
BERGEN,"Jacob Aalls vei 218",5063,NO
NOTODDEN,"Telnesgata 133",3683,NO
SANDNES,"Konradhagen 198",4322,NO
HAMAR,"Halvor Hoels gate 148",2315,NO
MOSS,"Cort Adelers gate 108",1515,NO
HØNEFOSS,"Askveien 183",3510,NO
HORDVIK,"Heiavegen 221",5108,NO
MOLDE,"Enenvegen 118",6416,NO
FAUSKE,"Sjøroseveien 122",8206,NO
TRONDHEIM,"Jernbanegata 71",7042,NO
STAVANGER,"Fjellfaret 211",4025,NO
MANDAL,"Klev 214",4513,NO
ÅLESUND,"Arnehjellen 202",6013,NO
OSLO,"Alnafetgata 66",0192,NO
"KRISTIANSUND N","Skogstjerna 23",6518,NO
LAKSEVÅG,"Carl Konows gate 204",5162,NO
OSLO,"Dovregata 118",0170,NO
TØNSBERG,"Asbjørnsens vei 250",3122,NO
BODØ,"Leitebakken 58",8009,NO
HØNEFOSS,"Haugebakken 93",3511,NO
STAVANGER,"Schancheholsveien 8",4019,NO
ÅLESUND,"Lauramarka 94",6017,NO
TROMSØ,"Minkvegen 3",9017,NO
SKJEBERG,"Klavestadåsen 10",1747,NO
